,model_name,mode,image_type,epoch,learning_rate,batch_size,batch_index,loss_batch,avg_train_loss_till_current_batch,avg_train_acc_till_current_batch,avg_val_loss_till_current_batch,avg_val_acc_till_current_batch
0,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,1,0.6942650079727173,0.6942650079727173,0.46875,,
1,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,2,0.692165732383728,0.6932153701782227,0.5,,
2,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,3,0.6816251873970032,0.6893519759178162,0.5208333333333334,,
3,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,4,0.7091785073280334,0.6943086087703705,0.5078125,,
4,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,5,0.6862317323684692,0.6926932334899902,0.525,,
5,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,6,0.7056537866592407,0.6948533256848654,0.5104166666666666,,
6,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,7,0.6985152363777161,0.695376455783844,0.5044642857142857,,
7,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,8,0.7092167735099792,0.6971064954996109,0.48046875,,
8,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,9,0.6887967586517334,0.6961831914054023,0.4895833333333333,,
9,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,10,0.6966322660446167,0.6962280988693237,0.48125,,
10,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,11,0.6906764507293701,0.6957234035838734,0.48011363636363635,,
11,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,12,0.6918482184410095,0.6954004714886347,0.4791666666666667,,
12,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,13,0.6875864267349243,0.6947993911229647,0.4855769230769231,,
13,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,14,0.6958602666854858,0.6948751679488591,0.4799107142857143,,
14,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,15,0.6842272281646729,0.69416530529658,0.48541666666666666,,
15,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,16,0.6886939406394958,0.6938233450055122,0.48828125,,
16,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,17,0.6821738481521606,0.6931380804847268,0.4944852941176471,,
17,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,18,0.6802248954772949,0.6924206813176473,0.5034722222222222,,
18,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,19,0.6744813919067383,0.6914765081907573,0.5148026315789473,,
19,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,20,0.6751015186309814,0.6906577587127686,0.5171875,,
20,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,21,0.6560704708099365,0.6890107450031099,0.5193452380952381,,
21,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,22,0.6336580514907837,0.6864947134798224,0.5255681818181818,,
22,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,23,0.6283000111579895,0.683964509031047,0.53125,,
23,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,24,0.617530345916748,0.6811964189012846,0.5390625,,
24,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,25,0.5544523596763611,0.6761266565322877,0.5475,,
25,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,26,0.5431985855102539,0.6710140384160556,0.5576923076923077,,
26,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,27,0.5594926476478577,0.6668836165357519,0.5648148148148148,,
27,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,28,0.599939227104187,0.6644927454846246,0.5691964285714286,,
28,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,29,0.5369224548339844,0.6600937699449474,0.5743534482758621,,
29,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,30,0.5026216506958008,0.6548446993033091,0.5822916666666667,,
30,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,31,0.7423449754714966,0.6576672888571217,0.5846774193548387,,
31,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,32,0.44542714953422546,0.6510347845032811,0.59375,,
32,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,33,0.5411684513092041,0.6477055016792181,0.5984848484848485,,
33,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,34,0.4739210903644562,0.6425941954640781,0.6038602941176471,,
34,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,35,0.30692893266677856,0.6330037593841553,0.6142857142857143,,
35,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,36,0.5007742643356323,0.6293307178550296,0.6180555555555556,,
36,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,37,0.38856756687164307,0.6228236056662895,0.6233108108108109,,
37,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,38,0.300983726978302,0.6143541351745003,0.631578947368421,,
38,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,39,0.4101460576057434,0.6091180306214553,0.6370192307692307,,
39,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,40,0.3441964387893677,0.602494990825653,0.64296875,,
40,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,41,0.18996791541576385,0.592433354840046,0.6516768292682927,,
41,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,42,0.6847463846206665,0.594631284120537,0.6540178571428571,,
42,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,43,0.13190872967243195,0.583870294482209,0.6620639534883721,,
43,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,44,0.2084505558013916,0.5753380276940085,0.6690340909090909,,
44,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,45,0.21349239349365234,0.5672970136006673,0.675,,
45,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,46,0.16004809737205505,0.5584437762913497,0.6813858695652174,,
46,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,47,0.2699297070503235,0.5523051790734554,0.6861702127659575,,
47,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,48,0.22224998474121094,0.5454290291915337,0.6907552083333334,,
48,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,49,0.1492432802915573,0.5373436057445954,0.6957908163265306,,
49,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,50,0.21285152435302734,0.5308537641167641,0.700625,,
50,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,51,0.11968011409044266,0.5227915356848755,0.7058823529411765,,
51,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,52,0.07686829566955566,0.5142160887615039,0.7115384615384616,,
52,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,53,0.14613300561904907,0.5072711249286274,0.7163915094339622,,
53,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,54,0.06098347157239914,0.4990065387553639,0.7216435185185185,,
54,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,55,0.1250362992286682,0.4922070798548785,0.7255681818181818,,
55,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,56,0.05117564648389816,0.4843315185446824,0.73046875,,
56,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,57,0.20334592461585999,0.47940194672136976,0.7335526315789473,,
57,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,58,0.14210295677185059,0.4735864468946539,0.7376077586206896,,
58,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,59,0.06921914964914322,0.46673276389049273,0.7415254237288136,,
59,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,60,0.035766419023275375,0.4595499914760391,0.7458333333333333,,
60,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,61,0.10539723932743073,0.4537442086539308,0.7494877049180327,,
61,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,62,0.13710109889507294,0.44863706172233625,0.7530241935483871,,
62,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,63,0.14692267775535583,0.4438479445165112,0.7564484126984127,,
63,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,64,0.14101055264472961,0.4391161102685146,0.75927734375,,
64,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,65,0.1208624467253685,0.43421990006015854,0.7625,,
65,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,66,0.254605770111084,0.4314984738488089,0.7651515151515151,,
66,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,67,0.029603341594338417,0.42550003903904066,0.7686567164179104,,
67,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,68,0.014897570013999939,0.41946176743573127,0.7720588235294118,,
68,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,69,0.08769377321004868,0.41465353563535906,0.7749094202898551,,
69,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,70,0.056544795632362366,0.4095376964924591,0.7776785714285714,,
70,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,71,0.033990513533353806,0.4042482995493731,0.7808098591549296,,
71,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,72,0.017230138182640076,0.39887304730816847,0.7838541666666666,,
72,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,73,0.0877908319234848,0.39461164709741936,0.7863869863013698,,
73,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,74,0.10809679329395294,0.3907398247487239,0.7888513513513513,,
74,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,75,0.07035110145807266,0.38646797510484854,0.79125,,
75,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,76,0.0631909966468811,0.3822143306514542,0.7935855263157895,,
76,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,77,0.015845516696572304,0.37745629410658565,0.7962662337662337,,
77,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,78,0.0325922891497612,0.37303496070970327,0.7988782051282052,,
78,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,79,0.09481167793273926,0.3695131470036658,0.8010284810126582,,
79,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,80,0.014798220247030258,0.3650792104192078,0.803515625,,
80,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,81,0.02870308980345726,0.3609264188066677,0.8059413580246914,,
81,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,82,0.011908872053027153,0.3566701072608916,0.8083079268292683,,
82,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,83,0.01268371194601059,0.35252569285950747,0.8106174698795181,,
83,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,84,0.09981619566679001,0.34951724646435606,0.8125,,
84,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,85,0.01409352570772171,0.3455710850436898,0.8147058823529412,,
85,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,86,0.08750660717487335,0.34257033530102915,0.8161337209302325,,
86,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,87,0.014204160310328007,0.3387960114505613,0.8182471264367817,,
87,n_heads=12_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,88,0.02998919039964676,0.33528684302952816,0.8199573863636364,,
